Post_ID,Post_Time,Post_Text,Post_Sentiment,Numbered_Sentiment,Post_From
10159311896789579,2021-03-01 07:53:18,Ontario's long-term care minister was aware of the dangers the novel coronavirus posed to the sector long before it was declared a global pandemic according to a newly released transcript.TORONTO.CTVNEWS.CALong-term care minister was 'ahead' of Ontario's top doctor on COVID-19 commission hears,4,ctvtoronto
10159311854229579,2021-03-01 07:34:46,In all Ontario used 32.2 terawatts of power in 2020 a decline of 2.9 per cent from 2019.TORONTO.CTVNEWS.CACOVID-19 zaps electricity usage in Ontario as people stay home,0,ctvtoronto
10159311836194579,2021-03-01 07:17:15,New public health measures meant to limit the spread of COVID-19 went into effect across nine Ontario regions today.TORONTO.CTVNEWS.CANew COVID-19 measures take effect in nine Ontario regions two move into lockdown,3,ctvtoronto
10159311830274579,2021-03-01 07:12:39,"Ontario's website for booking COVID-19 vaccination appointments will begin a ""soft launch"" in six public health units this week.TORONTO.CTVNEWS.CAVaccine portal to have 'soft launch' in six Ontario regions this week: source",3,ctvtoronto
10159309839634579,2021-02-28 11:04:37,The NBA says the game in Tampa Fla. will not be played because the Raptors will not have the minimum eight players available.TORONTO.CTVNEWS.CAToronto Raptors' game against Chicago postponed because of COVID-19,1,ctvtoronto
10159309755504579,2021-02-28 10:19:20,#BREAKING: Ontario is marking a grim milestone Sunday as health officials report that the province has logged more than 300000 cases of COVID-19 since the pandemic began in January.https://toronto.ctvnews.ca/more-than-300-000-covid-19-cases-logged-in-ontario-since-beginning-of-pandemic-1.5327666TORONTO.CTVNEWS.CAMore than 300000 COVID-19 cases logged in Ontario since beginning of pandemic,1,ctvtoronto
10159309638544579,2021-02-28 09:22:27,The city intends to start with shelters at the highest risk of COVID-19 outbreaks and will continue the rollout as more doses arrive in Toronto.TORONTO.CTVNEWS.CACity to begin administering COVID-19 vaccines to those in Toronto's shelter system,4,ctvtoronto
10159308785694579,2021-02-27 22:12:14,More than 1100 new cases of COVID-19 were reported in Ontario Saturday.TORONTO.CTVNEWS.CAOntario reports more than 1100 new COVID-19 cases 16 additional deaths,4,ctvtoronto
10159307436079579,2021-02-27 10:16:24,#BREAKING: More than 1100 new cases of COVID-19 were reported in Ontario Saturday.TORONTO.CTVNEWS.CAOntario reports more than 1100 new COVID-19 cases 16 additional deaths,4,ctvtoronto
10159306819074579,2021-02-27 02:12:12,The Ontario government's switch to a centralized procurement system stalled the replenishment of the province's stockpile of personal protective equipment in the years leading up to the COVID-19 pandemic an independent commission heard this week.TORONTO.CTVNEWS.CANew procurement system stalled restocking of PPE ahead of pandemic: health minister,0,ctvtoronto
